symbol,sector,listed_shares
PROFL,Finance,8561070
PICL,Non Life Insurance,11085466
RADHI,Hydro Power,6464046
RJM,Manufacturing And Processing,1806966
RRHP,Hydro Power,5600000
RBCL,Non Life Insurance,2666365
RHPL,Hydro Power,61578900
RMF1,Mutual Fund,125000000
RLFL,Finance,10530064
RLI,Life Insurance,21000000
RHPC,Hydro Power,5855580
RMDC,Microfinance,12410663
RSDC,Microfinance,8051558
RURU,Hydro Power,4484761
SABSL,Microfinance,2699988
SDLBSL,Microfinance,3212255
SIC,Non Life Insurance,11113575
SHBL,Development Banks,2722707
SAHAS,Hydro Power,35000000
SBBLJ,Development Banks,5096682
STC,Tradings,2304829
SAMAJ,Microfinance,200000
SMATA,Microfinance,3427442
SFC,Finance,225000
SPC,Hydro Power,5000000
SFCL,Finance,8189114
SLBSL,Microfinance,1320000
SKBBL,Microfinance,15644138
SANIMA,Commercial Banks,113273776
SAEF,Mutual Fund,130000000
SGI,Non Life Insurance,10000000
SLCF,Mutual Fund,120000000
SLI,Life Insurance,20000000
SHPC,Hydro Power,30892510
SJCL,Hydro Power,32850000
SAPDBL,Development Banks,8343385
SDBD87,Corporate Debenture,0
SADBL,Development Banks,30106698
SICL,Non Life Insurance,17585240
SHINE,Development Banks,37810092
SSHL,Hydro Power,14764000
SHIVM,Manufacturing And Processing,44000000
SBPP,Manufacturing And Processing,3500000
SIFC,Finance,8901349
SRS,Manufacturing And Processing,3045990
SFFIL,Finance,9630339
SBL,Commercial Banks,125244272
SEF,Mutual Fund,150000000
SEOS,Mutual Fund,100000000
SIL,Non Life Insurance,11200000
SIGS2,Mutual Fund,120000000
SINDU,Development Banks,5574561
SHEL,Hydro Power,14500000
SHL,Hotels,84257973
SPARS,Microfinance,1120291
SCB,Commercial Banks,94294536
SMFDB,Microfinance,4940000
SRBL,Commercial Banks,101188928
SBCF,Mutual Fund,125000000
SFMF,Mutual Fund,86000000
SMB,Microfinance,858000
SLICL,Life Insurance,25502820
SLBS,Microfinance,2976516
SWBBL,Microfinance,11221700
SMFBS,Microfinance,1217822
SDESI,Microfinance,2760000
SLBBL,Microfinance,5140991
SYFL,Finance,4744090
SPDL,Hydro Power,8065750
TRH,Hotels,18866540
TPC,Hydro Power,4000000
TMDBL,Development Banks,19219148
UNL,Manufacturing And Processing,920700
UNHPL,Hydro Power,7500000
ULI,Life Insurance,21500000
UFL,Finance,10408347
UMRH,Hydro Power,4200000
UIC,Non Life Insurance,10281600
UMHL,Hydro Power,11500000
UPCL,Hydro Power,21003500
USLB,Microfinance,2290207
UPPER,Hydro Power,105900000
VLBS,Microfinance,3199970
WOMI,Microfinance,4943333
YHL,Hotels,2209208
